Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14032183,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Rate - Asian,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Race:,Asian,,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,3.0,3.0,3.5,3.9,3.3,3.1,2.4,3.0,3.0,2.8,3.1,2.5
2007,3.1,2.6,3.0,3.5,3.2,2.7,2.7,3.5,3.4,3.8,3.6,3.7
2008,3.1,2.9,3.6,3.5,4.1,4.2,3.7,4.5,4.0,3.9,4.8,5.1
2009,6.1,6.7,6.5,6.8,7.0,7.9,8.1,7.6,7.6,7.6,7.2,8.4
2010,8.3,8.2,7.6,7.0,7.8,7.4,7.9,7.3,6.6,7.2,7.5,7.2
2011,6.8,6.7,7.3,6.5,7.2,6.5,7.4,7.2,8.0,7.4,6.4,6.8
2012,6.6,6.2,6.4,5.3,5.5,6.0,5.9,6.0,5.0,4.9,6.3,6.6
2013,6.4,6.0,5.1,5.3,4.5,4.7,5.4,5.2,5.4,5.3,5.2,4.1
2014,4.8,5.9,5.5,5.8,5.6,4.8,4.2,4.6,4.5,5.0,4.7,4.2
2015,4.0,4.0,3.2,4.4,4.1,3.8,4.0,3.5,3.7,3.5,3.9,4.0
2016,3.7,3.8,4.0,3.8,4.1,3.5,3.8,4.2,3.9,3.4,3.0,
