Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027660,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - High School Graduates, No College, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,"High School graduates, no college",,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,4.4,4.4,4.1,4.4,4.3,4.1,4.5,4.6,4.1,4.1,4.3,4.3
2007,4.3,4.3,4.0,4.1,4.4,4.1,4.6,4.4,4.5,4.6,4.5,4.7
2008,4.7,4.7,5.1,5.0,5.0,5.1,5.4,5.8,6.2,6.4,7.0,7.8
2009,8.2,8.5,9.2,9.5,10.0,9.7,9.5,9.7,10.6,11.0,10.3,10.6
2010,10.2,10.7,11.0,10.8,10.9,10.6,10.0,10.0,9.7,9.8,10.0,9.8
2011,9.5,9.7,9.7,9.9,9.6,10.0,9.1,9.3,9.4,9.4,8.8,8.7
2012,8.5,8.3,8.1,8.0,8.2,8.5,8.5,8.6,8.5,8.3,8.0,8.0
2013,8.1,7.9,7.7,7.5,7.3,7.7,7.5,7.4,7.6,7.3,7.2,7.0
2014,6.5,6.4,6.3,6.2,6.4,5.8,6.0,6.1,5.4,5.8,5.7,5.3
2015,5.4,5.4,5.3,5.4,5.7,5.4,5.5,5.5,5.3,5.3,5.4,5.6
2016,5.3,5.3,5.4,5.4,5.1,5.0,5.0,5.1,5.2,5.5,4.9,
