Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14000009,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Rate - Hispanic or Latino,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Ethnic origin:,Hispanic or Latino,,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,5.5,5.4,5.2,5.5,5.0,5.2,5.2,5.3,5.5,4.8,5.1,5.0
2007,5.5,5.1,5.0,5.6,5.8,5.5,5.9,5.5,5.9,5.7,5.9,6.3
2008,6.3,6.2,6.9,7.1,6.9,7.6,7.5,8.0,8.0,8.8,8.7,9.4
2009,10.1,11.3,11.7,11.4,12.3,12.1,12.5,13.0,12.6,12.8,12.4,12.8
2010,12.9,12.7,12.9,12.5,12.0,12.3,12.2,12.0,12.3,12.3,12.9,12.9
2011,12.3,11.8,11.6,11.9,11.6,11.5,11.2,11.2,11.2,11.3,11.2,11.1
2012,10.6,10.8,10.5,10.4,10.8,10.9,10.1,10.1,9.8,10.0,9.9,9.7
2013,9.7,9.7,9.2,9.1,9.0,9.0,9.3,9.2,9.0,9.1,8.7,8.4
2014,8.3,8.1,7.9,7.4,7.7,7.6,7.6,7.4,7.0,6.8,6.6,6.5
2015,6.7,6.7,6.8,6.9,6.7,6.6,6.8,6.6,6.4,6.4,6.4,6.3
2016,5.9,5.4,5.6,6.1,5.6,5.8,5.4,5.6,6.4,5.7,5.7,
