Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027659,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Less than a High School Diploma, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Less than a High School diploma,,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,7.0,7.1,6.9,6.9,7.0,7.1,7.1,6.8,6.4,5.8,6.6,6.7
2007,6.9,7.3,6.9,7.1,6.6,6.7,7.3,6.5,7.6,7.3,7.7,7.7
2008,7.7,7.4,8.4,7.7,8.1,8.7,8.6,9.7,9.8,10.3,10.8,11.1
2009,12.4,13.2,14.0,14.9,15.2,15.6,15.3,15.6,14.9,15.2,14.7,15.0
2010,15.3,15.8,14.9,14.7,14.6,14.2,13.5,14.1,15.6,15.0,15.4,15.0
2011,14.3,14.0,14.1,14.7,14.5,14.4,14.5,14.1,14.3,13.5,12.8,13.7
2012,13.0,13.2,12.8,12.5,12.9,12.7,12.3,11.8,11.6,12.0,11.9,11.7
2013,12.0,11.3,11.1,11.5,10.9,10.7,10.7,11.2,10.5,10.8,10.6,9.9
2014,9.6,10.0,9.4,8.7,9.0,9.1,9.4,9.1,8.3,7.9,8.6,8.8
2015,8.6,8.4,8.6,8.5,8.5,8.1,8.2,7.7,7.7,7.3,6.8,6.7
2016,7.4,7.3,7.4,7.5,7.1,7.5,6.3,7.2,8.5,7.3,7.9,
