Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027689,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Some College or Associate Degree, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Some college or associate degree,,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,3.6,3.6,3.7,3.8,3.8,3.5,3.6,3.5,3.6,3.4,3.4,3.4
2007,3.8,3.6,3.6,3.6,3.4,3.5,3.6,3.6,3.4,3.5,3.3,3.8
2008,3.7,3.8,3.9,4.0,4.3,4.3,4.6,4.9,5.0,5.2,5.5,5.7
2009,6.5,7.3,7.5,7.7,7.8,8.1,8.0,8.1,8.3,8.7,8.8,8.7
2010,8.6,8.1,8.4,8.4,8.2,8.1,8.3,8.7,8.9,8.2,8.6,8.1
2011,8.1,7.9,7.5,7.5,7.8,8.3,8.3,8.3,8.5,8.1,7.7,7.6
2012,7.1,7.2,7.5,7.6,7.7,7.3,7.2,6.7,6.6,6.9,6.5,6.8
2013,6.9,6.5,6.3,6.3,6.5,6.5,6.1,6.1,6.1,6.4,6.4,6.1
2014,5.9,6.0,5.9,5.7,5.5,5.2,5.4,5.4,5.4,4.9,4.8,5.0
2015,5.2,5.0,4.8,4.6,4.4,4.2,4.4,4.4,4.3,4.3,4.4,4.1
2016,4.2,4.2,4.1,4.1,3.9,4.2,4.3,4.3,4.2,3.8,3.9,
